City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Tual,ID,-5.6667,132.75,79.84,82,100,20.92,overcast clouds
80,Saint-Georges,GD,12.0564,-61.7485,87.48,70,20,17.27,few clouds
81,Ribeira Grande,PT,38.5167,-28.7,72.0,68,75,13.8,broken clouds
82,Thompson,CA,55.7435,-97.8558,66.36,82,100,3.44,overcast clouds
83,Nipawin,CA,53.3668,-104.0009,73.44,83,75,9.22,broken clouds
84,Hilo,US,19.7297,-155.09,86.29,87,100,6.91,overcast clouds
85,Bontang,ID,0.1333,117.5,76.73,86,100,5.61,overcast clouds
86,Jamestown,US,42.097,-79.2353,78.53,49,0,10.36,clear sky
87,Marienburg,PL,54.0359,19.0266,67.87,61,65,10.18,broken clouds
88,Mataura,NZ,-46.1927,168.8643,35.47,92,20,2.08,few clouds
89,Maneadero,MX,31.7167,-116.5667,79.93,50,7,9.4,clear sky
90,Castro,BR,-24.7911,-50.0119,72.14,44,29,6.58,scattered clouds
91,Lompoc,US,34.6391,-120.4579,73.92,81,40,8.01,scattered clouds
92,Westport,US,41.1415,-73.3579,86.14,54,20,11.5,few clouds
93,Cape Town,ZA,-33.9258,18.4232,59.38,88,75,17.27,heavy intensity rain
94,Bilibino,RU,68.0546,166.4372,40.89,95,100,6.76,light rain
95,Kamenka,RU,51.3223,42.7678,68.36,66,100,3.83,light rain
96,Olhao,PT,37.0286,-7.8411,90.28,48,0,4.61,clear sky
97,Maravilla,PH,10.9011,123.8918,79.65,83,100,2.57,overcast clouds
98,Kashi,CN,39.4547,75.9797,81.61,26,40,15.66,scattered clouds
99,Glace Bay,CA,46.1969,-59.957,73.33,57,75,12.66,broken clouds
100,Margate,GB,51.3813,1.3862,68.88,73,18,16.02,few clouds
101,Vao,NC,-22.6667,167.4833,75.02,82,2,10.45,clear sky
102,Sorong,ID,-0.8833,131.25,77.2,89,100,5.28,light rain
103,Jacareacanga,BR,-6.2222,-57.7528,85.41,58,68,2.62,broken clouds
104,Winnemucca,US,40.973,-117.7357,82.45,14,0,5.75,clear sky
105,Tuktoyaktuk,CA,69.4541,-133.0374,50.0,100,100,8.05,fog
106,Inverness,GB,57.4791,-4.224,68.99,57,20,13.8,few clouds
107,Ilulissat,GL,69.2167,-51.1,48.22,71,20,5.75,few clouds
108,Chapais,CA,49.7834,-74.8492,60.58,31,10,8.08,clear sky
109,Boguchany,RU,58.3814,97.4531,55.9,80,100,1.05,overcast clouds
110,Mahebourg,MU,-20.4081,57.7,69.26,73,40,17.27,scattered clouds
