City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
151,Pundaguitan,PH,81.75,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
152,Lorengau,PG,81.7,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
153,Seoul,KR,76.6,few clouds,37.5683,126.9778,Lotte Hotel Seoul
154,Provost,CA,72.05,clear sky,52.3501,-110.2683,Canalta Hotel Provost
160,Salinopolis,BR,82.53,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
163,Mumford,GH,76.84,light rain,5.2618,-0.759,Spanish Villa
169,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
171,Sola,VU,79.5,scattered clouds,-13.8833,167.55,Leumerus Bungalows
172,Wajid,SO,75.9,overcast clouds,3.8093,43.2471,xamdihotelresturant114
176,Najran,SA,90.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
180,Sinnamary,GF,80.19,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
183,Labuan,MY,75.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
190,Sonepur,IN,81.09,light rain,20.8333,83.9167,Hotel Progress INN
191,Salta,AR,83.57,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
192,Glenwood Springs,US,85.06,clear sky,39.5505,-107.3248,Glenwood Springs Cedar Lodge
195,Belmira,CO,71.96,broken clouds,6.6051,-75.6662,Posada Turística Belmira
196,Bamboo,JM,81.37,overcast clouds,18.3922,-77.2643,The Retreat
197,Sambalpur,IN,80.69,light rain,21.45,83.9667,Hotel Saket
199,Sai Buri,TH,78.15,heavy intensity rain,6.7013,101.6168,สวนป่ารีสอร์ท
200,Goderich,CA,73.72,clear sky,43.7501,-81.7165,Harmony Inn
201,Ibra,OM,79.61,light rain,22.6906,58.5334,مزرعة راحة النفوس المنزفة
203,Athens,GR,74.12,scattered clouds,37.9795,23.7162,Safestay Athens
204,Bandarbeyla,SO,78.89,broken clouds,9.4942,50.8122,JABIR HOTEL
205,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
207,Jalu,LY,88.93,clear sky,29.0331,21.5482,صاحبة الفخامة
209,Portland,US,73.06,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
212,Sarakhs,IR,87.94,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
213,Cururupu,BR,84.74,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
218,Kapasan,ID,71.92,clear sky,-6.7773,111.3789,Perum Perhutani Kph Mantingan
219,Port Elizabeth,ZA,78.1,clear sky,-33.918,25.5701,39 On Nile Guest House
220,Meulaboh,ID,77.0,light rain,4.1363,96.1285,Kost Pria
222,Aguimes,ES,79.66,clear sky,27.9054,-15.4461,Hotel Villa de Aguimes
225,Samarai,PG,80.6,scattered clouds,-10.6167,150.6667,Nuli Sapi
230,Mahon,ES,84.76,clear sky,39.8885,4.2658,ARTIEM Capri
233,Razole,IN,78.51,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
235,Buchanan,LR,76.55,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
236,Kahului,US,75.97,light rain,20.8947,-156.47,Maui Seaside Hotel
237,Kudahuvadhoo,MV,82.76,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
238,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
242,Oussouye,SN,86.18,light rain,12.485,-16.5469,Auberge du Routard
249,Russell,US,88.88,broken clouds,32.3502,-85.1999,Macs
250,Cockburn Town,TC,82.22,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
251,Yenagoa,NG,74.8,light rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
253,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
